,depart_from,arrive_at,date,depart_time,arrival_time,price,airline,flight_duration
0,OPO,MAD,2023-01-20,9:30 ,7:15 ,$17,FlixBus,8h 45m
1,OPO,MAD,2023-01-20,8:25 ,10:35 ,$20,Ryanair,1h 10m
2,OPO,MAD,2023-01-20,8:10 ,10:20 ,$23,Air Europa,1h 10m
3,OPO,MAD,2023-01-20,2:00 ,4:25 ,$26,easyJet,1h 25m
4,OPO,MAD,2023-01-20,7:35 ,9:45 ,$30,Air Europa,1h 10m
5,OPO,MAD,2023-01-20,8:40 ,11:00 ,$39,Iberia,1h 20m
6,OPO,MAD,2023-01-20,9:10 ,10:40 ,$40,Ryanair,24h 30m
7,OPO,MAD,2023-01-20,11:30 ,1:40 ,$41,Air Europa,1h 10m
8,OPO,MAD,2023-01-20,8:00 ,8:20 ,$50,TAP AIR PORTUGAL,23h 20m
9,OPO,MAD,2023-01-20,9:10 ,8:40 ,$51,"Ryanair, Air Europa ",22h 30m
10,OPO,MAD,2023-01-20,9:10 ,8:30 ,$52,Ryanair,22h 20m
11,OPO,MAD,2023-01-20,7:35 ,9:45 ,$53,Ryanair,1h 10m
12,OPO,MAD,2023-01-20,2:00 ,11:20 ,$57,TAP AIR PORTUGAL,8h 20m
13,OPO,MAD,2023-01-20,12:00 ,11:20 ,$57,TAP AIR PORTUGAL,10h 20m
14,OPO,MAD,2023-01-20,11:00 ,11:20 ,$57,TAP AIR PORTUGAL,11h 20m
